Business_ID,Business_Name,Industry,Country,State_Province,City,Event_Date,Year,Climate_Event,Severity,Temperature_Change_C,Rainfall_Deviation_Percent,Exposure_Score,Vulnerability_Score,Risk_Score,Risk_Level,Downtime_Days,Revenue_Loss_USD,Property_Damage_USD,Supply_Chain_Disruption,Employees_Affected,Recovery_Days,Risk_Mitigation_Investment_USD
B0001,ENER_0001,Energy,India,West Bengal,Kolkata,2020-09-06,2020,Cyclone,Critical,2.88,53.42,63.12,78.36,69,High,28,1390409.7,997622.5,High,185,49,89105.53
B0002,TRAN_0002,Transportation,India,Andhra Pradesh,Visakhapatnam,2020-04-18,2020,Storm,High,2.21,32.75,71.53,61.05,74,High,20,1177179.97,686667.5,High,212,38,166823.26
B0003,AGRI_0003,Agriculture,Australia,Victoria,Melbourne,2020-06-23,2020,Heatwave,Medium,1.74,-0.06,67.38,54.18,54,Medium,20,1132973.14,314635.99,Medium,161,46,149976.56
B0004,RETA_0004,Retail,United States,California,Los Angeles,2021-10-23,2021,Wildfire,Low,1.84,-18.29,71.33,36.96,50,Medium,6,641228.66,369725.67,Medium,92,11,92817.74
B0005,TRAN_0005,Transportation,Japan,Osaka,Osaka,2025-04-17,2025,Drought,Medium,2.03,-11.69,63.2,75.05,68,High,10,1002082.16,488002.92,High,187,15,147892.03
B0006,ENER_0006,Energy,India,West Bengal,Kolkata,2022-04-05,2022,Cyclone,Critical,2.65,43.23,74.39,71.74,64,High,30,1177874.12,782148.93,Medium,195,55,88607.72
B0007,ENER_0007,Energy,Germany,Berlin,Berlin,2022-02-10,2022,Cyclone,Low,0.88,-21.1,68.55,46.93,54,Medium,16,1121627.34,156409.61,Medium,137,31,110330.49
B0008,TECH_0008,Technology,Brazil,Bahia,Salvador,2022-07-05,2022,Wildfire,High,2.09,-16.04,56.4,67.24,58,Medium,13,838766.83,372761.39,Medium,101,28,87314.47
B0009,ENER_0009,Energy,United States,Texas,Houston,2021-08-23,2021,Flood,Low,1.78,20.94,52.63,53.63,43,Medium,14,608879.06,75924.64,Medium,141,28,63083.55
B0010,CONS_0010,Construction,United States,Texas,Houston,2024-10-08,2024,Flood,Medium,0.84,-3.75,58.99,58.1,54,Medium,14,913057.29,336868.59,Medium,91,37,65909.1
B0011,FINA_0011,Finance,United States,California,Los Angeles,2022-02-18,2022,Wildfire,High,2.19,-22.82,59.53,52.95,50,Medium,18,583273.38,189548.16,Medium,191,31,39892.84
B0012,CONS_0012,Construction,Brazil,Bahia,Salvador,2021-04-13,2021,Heatwave,Low,1.15,31.91,48.41,59.74,65,High,10,1089123.92,590937.2,Medium,185,22,48106.6
B0013,HEAL_0013,Healthcare,Germany,Hamburg,Hamburg,2026-03-01,2026,Heatwave,Critical,2.32,-38.94,99.43,71.17,81,Critical,24,836290.95,579799.53,High,186,40,26836.95
B0014,TECH_0014,Technology,India,Andhra Pradesh,Visakhapatnam,2020-12-04,2020,Heatwave,High,1.76,-25.9,73.17,55.34,54,Medium,8,702885.38,174842.25,Medium,150,17,72599.35
B0015,HEAL_0015,Healthcare,Japan,Osaka,Osaka,2026-12-14,2026,Storm,Medium,1.54,-21.34,71.66,63.8,59,Medium,11,1117121.11,821454.93,Medium,112,26,165015.0
B0016,MANU_0016,Manufacturing,India,West Bengal,Kolkata,2020-04-23,2020,Drought,High,3.06,-43.17,47.98,67.79,51,Medium,18,870860.62,149011.99,Medium,61,31,123576.99
B0017,CONS_0017,Construction,Brazil,Bahia,Salvador,2023-08-11,2023,Flood,Low,1.24,-19.79,84.49,44.67,60,Medium,13,918576.59,260335.51,Medium,86,31,51620.53
B0018,MANU_0018,Manufacturing,India,West Bengal,Kolkata,2024-10-12,2024,Cyclone,High,2.19,11.26,77.97,70.59,73,High,17,1200407.01,1037476.12,High,277,37,103285.56
B0019,HOSP_0019,Hospitality,Brazil,Rio de Janeiro,Rio de Janeiro,2020-01-12,2020,Flood,High,1.95,20.46,52.81,80.76,71,High,13,1064807.58,529149.76,High,170,25,114076.49
B0020,HOSP_0020,Hospitality,Brazil,Bahia,Salvador,2023-09-18,2023,Storm,Medium,1.65,-13.95,72.3,57.87,52,Medium,14,552920.79,305759.14,Medium,126,42,41210.0
B0021,ENER_0021,Energy,Germany,Hamburg,Hamburg,2025-04-13,2025,Storm,Medium,2.07,1.57,89.68,70.41,84,Critical,15,1401386.43,806673.21,High,149,32,171189.11
B0022,MANU_0022,Manufacturing,Japan,Osaka,Osaka,2025-07-27,2025,Drought,Low,0.75,-0.08,62.95,42.66,48,Medium,16,735160.44,91917.75,Medium,137,38,90001.91
B0023,RETA_0023,Retail,United States,Florida,Miami,2023-06-20,2023,Drought,Medium,1.86,11.24,69.61,67.28,79,High,4,1097385.95,123799.41,High,284,8,160380.99
B0024,ENER_0024,Energy,Japan,Tokyo,Tokyo,2022-10-22,2022,Wildfire,Critical,3.06,-49.38,81.99,65.48,71,High,27,1441473.64,557797.69,High,179,56,245657.38
B0025,ENER_0025,Energy,Australia,Victoria,Melbourne,2024-12-01,2024,Cyclone,Medium,2.33,-23.84,78.85,71.9,91,Critical,16,1862138.15,586785.99,High,236,19,138364.04
B0026,AGRI_0026,Agriculture,Germany,Hamburg,Hamburg,2023-07-26,2023,Heatwave,Medium,2.06,0.13,72.07,46.73,41,Medium,18,896157.87,469453.78,Medium,127,34,30782.96
B0027,AGRI_0027,Agriculture,United States,Florida,Miami,2025-03-01,2025,Flood,High,1.66,38.49,80.0,67.64,72,High,26,1167529.15,257681.42,High,60,37,197510.11
B0028,FINA_0028,Finance,Brazil,São Paulo,São Paulo,2024-06-02,2024,Storm,High,2.4,55.97,64.52,83.1,75,High,7,404169.52,132420.45,High,175,13,49200.18
B0029,MANU_0029,Manufacturing,Japan,Tokyo,Tokyo,2021-11-13,2021,Drought,Low,1.54,35.77,74.89,50.03,57,Medium,6,1039183.57,284150.22,Medium,173,11,78148.05
B0030,TRAN_0030,Transportation,Germany,Berlin,Berlin,2024-06-27,2024,Drought,Medium,1.26,2.0,73.35,62.2,69,High,23,1165407.17,496853.06,High,240,60,145902.41
